,,,,,,,,,,,,,,,
Date,Day,High / Low,High / Low,Start Point,End point,ADR Model,Broken/Intact ADR,ODR Model,Broken/Intact ODR,RDR Model,Srart Point with session,End Point with session,Model Combinations,,
13/03/2019,Wednesday,Low ODR,High RDR,Min Med Red,Med Max Green,RC,Broken,UXP,Intact,UXP,ODR Min Med Red,RDR Med Max Green,RC - UXP - UXP,,
14/03/2019,Thursday,Low ODR,High RDR,Min Med Red,Zero Min Green,UXP,Broken,UXP,Broken,UXP,ODR Min Med Red,RDR Zero Min Green,UXP - UXP - UXP,,
15/03/2019,Friday,High ODR,Low TRN,Zero Min Green,Med Max Red,DX,Broken,UXP,Intact,DXP,ODR Zero Min Green,TRN Med Max Red,DX - UXP - DXP,,
18/03/2019,Monday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,RC,Intact,UXP,ODR Zero Min Red,RDR Med Max Green,UXP - RC - UXP,,
19/03/2019,Tuesday,High ODR,Low RDR,Zero Min Red,Med Max Red,RC,Broken,UX,Broken,U,ODR Zero Min Red,RDR Med Max Red,RC - UX - U,,
20/03/2019,Wednesday,Low ODR,High RDR,Med Max Red,Med Max Green,DXP,Broken,UXP,Broken,DXP,ODR Med Max Red,RDR Med Max Green,DXP - UXP - DXP,,
21/03/2019,Thursday,High RDR,Low RDR,Zero Min Green,Min Med Red,UXP,Broken,U,Broken,RX,RDR Zero Min Green,RDR Min Med Red,UXP - U - RX,,
22/03/2019,Friday,High ODR,Low RDR,Zero Min Green,Max+ Red,DX,Broken,UX,Intact,DXP,ODR Zero Min Green,RDR Max+ Red,DX - UX - DXP,,
25/03/2019,Monday,Low RDR,High RDR,Med Max Red,Zero Min Green,DX,Broken,RC,Broken,RX,RDR Med Max Red,RDR Zero Min Green,DX - RC - RX,,
26/03/2019,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,UXP,Broken,UX,Intact,UXP,ODR Min Med Red,RDR Med Max Green,UXP - UX - UXP,,
27/03/2019,Wednesday,High RDR,Low RDR,Min Med Green,Min Med Red,DXP,Broken,UX,Broken,U,RDR Min Med Green,RDR Min Med Red,DXP - UX - U,,
28/03/2019,Thursday,Low TRN,High RDR,Med Max Red,Zero Min Green,DXP,Broken,DXP,Broken,D,TRN Med Max Red,RDR Zero Min Green,DXP - DXP - D,,
29/03/2019,Friday,Low ODR,High TRN,Zero Min Red,Med Max Green,UXP,Broken,D,Intact,UXP,ODR Zero Min Red,TRN Med Max Green,UXP - D - UXP,,
01/04/2019,Monday,Low ODR,High RDR,Min Med Red,Min Med Green,UXP,Intact,UXP,Broken,U,ODR Min Med Red,RDR Min Med Green,UXP - UXP - U,,
02/04/2019,Tuesday,Low TRN,High RDR,Zero Min Red,Med Max Green,UXP,Broken,DX,Broken,UXP,TRN Zero Min Red,RDR Med Max Green,UXP - DX - UXP,,
03/04/2019,Wednesday,High ODR,Low RDR,Zero Min Green,Med Max Red,UXP,Broken,UXP,Broken,D,ODR Zero Min Green,RDR Med Max Red,UXP - UXP - D,,
04/04/2019,Thursday,High ODR,Low RDR,Min Med Green,Zero Min Red,DX,Broken,DXP,Broken,RX,ODR Min Med Green,RDR Zero Min Red,DX - DXP - RX,,
05/04/2019,Friday,Low ODR,High RDR,Zero Min Red,Max+ Green,DXP,Broken,D,Intact,UXP,ODR Zero Min Red,RDR Max+ Green,DXP - D - UXP,,
08/04/2019,Monday,Low TRN,High RDR,Zero Min Red,Max+ Green,UXP,Broken,DX,Broken,UXP,TRN Zero Min Red,RDR Max+ Green,UXP - DX - UXP,,
09/04/2019,Tuesday,High ODR,Low RDR,Min Med Green,Med Max Red,UXP,Broken,DX,Intact,DX,ODR Min Med Green,RDR Med Max Red,UXP - DX - DX,,
10/04/2019,Wednesday,Low RDR,High RDR,Min Med Red,Zero Min Green,RC,Broken,U,Broken,U,RDR Min Med Red,RDR Zero Min Green,RC - U - U,,
11/04/2019,Thursday,High ODR,Low RDR,Min Med Green,Zero Min Red,RC,Intact,DXP,Broken,D,ODR Min Med Green,RDR Zero Min Red,RC - DXP - D,,
12/04/2019,Friday,High ODR,Low RDR,Zero Min Green,Med Max Red,RC,Intact,UXP,Intact,UXP,ODR Zero Min Green,RDR Med Max Red,RC - UXP - UXP,,
15/04/2019,Monday,High ODR,Low RDR,Zero Min Green,Min Med Red,DXP,Broken,RX,Broken,D,ODR Zero Min Green,RDR Min Med Red,DXP - RX - D,,
16/04/2019,Tuesday,Low RDR,High RDR,Zero Min Red,Med Max Green,RC,Broken,DXP,Broken,RX,RDR Zero Min Red,RDR Med Max Green,RC - DXP - RX,,
17/04/2019,Wednesday,High ODR,Low RDR,Zero Min Green,Med Max Red,UXP,Broken,UX,Intact,DXP,ODR Zero Min Green,RDR Med Max Red,UXP - UX - DXP,,
18/04/2019,Thursday,Low ODR,High TRN,Zero Min Red,Zero Min Green,DXP,Broken,DX,Broken,UXP,ODR Zero Min Red,TRN Zero Min Green,DXP - DX - UXP,,
19/04/2019,Friday,,,,,,,,,, , ,,,
22/04/2019,Monday,Low TRN,High RDR,Min Med Green,Med Max Green,UXP,Intact,UXP,Broken,RC,TRN Min Med Green,RDR Med Max Green,UXP - UXP - RC,,
23/04/2019,Tuesday,Low TRN,High RDR,Zero Min Red,Min Med Green,UXP,Broken,UXP,Broken,U,TRN Zero Min Red,RDR Min Med Green,UXP - UXP - U,,
24/04/2019,Wednesday,High RDR,Low RDR,Min Med Green,Zero Min Red,DX,Broken,DXP,Broken,UXP,RDR Min Med Green,RDR Zero Min Red,DX - DXP - UXP,,
25/04/2019,Thursday,High ODR,Low RDR,Zero Min Red,Max+ Red,DXP,Broken,UXP,Broken,DX,ODR Zero Min Red,RDR Max+ Red,DXP - UXP - DX,,
26/04/2019,Friday,High ODR,Low RDR,Zero Min Green,Max+ Red,DXP,Broken,RC,Intact,DXP,ODR Zero Min Green,RDR Max+ Red,DXP - RC - DXP,,
29/04/2019,Monday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,U,Broken,RX,ODR Min Med Red,RDR Med Max Green,DXP - U - RX,,
30/04/2019,Tuesday,High TRN,Low RDR,Min Med Green,Med Max Red,UXP,Broken,UXP,Broken,UXP,TRN Min Med Green,RDR Med Max Red,UXP - UXP - UXP,,
01/05/2019,Wednesday,High RDR,Low RDR,Min Med Green,Min Med Red,DXP,Broken,DXP,Broken,UXP,RDR Min Med Green,RDR Min Med Red,DXP - DXP - UXP,,
02/05/2019,Thursday,High ODR,Low RDR,Min Med Green,Med Max Red,DXP,Intact,DXP,Intact,DXP,ODR Min Med Green,RDR Med Max Red,DXP - DXP - DXP,,
03/05/2019,Friday,Low ODR,High RDR,Zero Min Red,Min Med Green,RC,Broken,D,Intact,UXP,ODR Zero Min Red,RDR Min Med Green,RC - D - UXP,,
06/05/2019,Monday,Low ODR,High RDR,Zero Min Red,Max+ Green,DXP,Broken,D,Intact,UXP,ODR Zero Min Red,RDR Max+ Green,DXP - D - UXP,,
07/05/2019,Tuesday,High ODR,Low RDR,Min Med Green,Med Max Red,UXP,Broken,RX,Intact,DXP,ODR Min Med Green,RDR Med Max Red,UXP - RX - DXP,,
08/05/2019,Wednesday,Low ODR,High RDR,Zero Min Red,Max+ Green,UXP,Broken,UX,Broken,DX,ODR Zero Min Red,RDR Max+ Green,UXP - UX - DX,,
09/05/2019,Thursday,High ODR,Low RDR,Min Med Green,Med Max Red,UXP,Broken,DXP,Broken,RX,ODR Min Med Green,RDR Med Max Red,UXP - DXP - RX,,
10/05/2019,Friday,High ODR,Low RDR,Min Med Green,Min Med Red,UXP,Broken,RC,Intact,DXP,ODR Min Med Green,RDR Min Med Red,UXP - RC - DXP,,
13/05/2019,Monday,High RDR,Low RDR,Med Max Green,Max+ Red,DXP,Broken,UXP,Broken,UXP,RDR Med Max Green,RDR Max+ Red,DXP - UXP - UXP,,
14/05/2019,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,RX,Intact,UXP,ODR Min Med Red,RDR Med Max Green,DXP - RX - UXP,,
15/05/2019,Wednesday,Low ODR,High RDR,Min Med Red,Max+ Green,DXP,Broken,D,Broken,UXP,ODR Min Med Red,RDR Max+ Green,DXP - D - UXP,,
16/05/2019,Thursday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,RC,Intact,UXP,ODR Zero Min Red,RDR Med Max Green,UXP - RC - UXP,,
17/05/2019,Friday,High ODR,Low RDR,Zero Min Green,Med Max Red,UXP,Broken,D,Broken,U,ODR Zero Min Green,RDR Med Max Red,UXP - D - U,,
20/05/2019,Monday,High ODR,Low TRN,Zero Min Green,Med Max Red,UX,Broken,UX,Intact,DXP,ODR Zero Min Green,TRN Med Max Red,UX - UX - DXP,,
21/05/2019,Tuesday,High ODR,Low RDR,Zero Min Green,Min Med Red,UX,Broken,UX,Broken,DXP,ODR Zero Min Green,RDR Min Med Red,UX - UX - DXP,,
22/05/2019,Wednesday,High RDR,Low RDR,Min Med Green,Med Max Red,DXP,Broken,DXP,Broken,RX,RDR Min Med Green,RDR Med Max Red,DXP - DXP - RX,,
23/05/2019,Thursday,High ODR,Low RDR,Zero Min Green,Max+ Red,DXP,Intact,DXP,Intact,DXP,ODR Zero Min Green,RDR Max+ Red,DXP - DXP - DXP,,
24/05/2019,Friday,High TRN,Low RDR,Zero Min Green,Max+ Red,DX,Broken,UXP,Broken,RX,TRN Zero Min Green,RDR Max+ Red,DX - UXP - RX,,
27/05/2019,Monday,Low ODR,High RDR,Min Med Red,Min Med Green,UX,Broken,DXP,Broken,U,ODR Min Med Red,RDR Min Med Green,UX - DXP - U,,
28/05/2019,Tuesday,High TRN,Low RDR,Min Med Green,Zero Min Red,UXP,Broken,DXP,Broken,U,TRN Min Med Green,RDR Zero Min Red,UXP - DXP - U,,
29/05/2019,Wednesday,Low RDR,High RDR,Min Med Red,Min Med Green,DX,Broken,DXP,Broken,DXP,RDR Min Med Red,RDR Min Med Green,DX - DXP - DXP,,
30/05/2019,Thursday,High ODR,Low RDR,Min Med Green,Max+ Red,UXP,Broken,UXP,Intact,DXP,ODR Min Med Green,RDR Max+ Red,UXP - UXP - DXP,,
31/05/2019,Friday,High ODR,Low RDR,Min Med Green,Max+ Red,DXP,Broken,RC,Intact,DXP,ODR Min Med Green,RDR Max+ Red,DXP - RC - DXP,,
03/06/2019,Monday,High TRN,Low RDR,Max+ Green,Min Med Red,DXP,Broken,U,Broken,UXP,TRN Max+ Green,RDR Min Med Red,DXP - U - UXP,,
04/06/2019,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,U,Broken,D,ODR Min Med Red,RDR Med Max Green,DXP - U - D,,
05/06/2019,Wednesday,High ODR,Low RDR,Min Med Green,Max+ Red,RC,Broken,D,Broken,DXP,ODR Min Med Green,RDR Max+ Red,RC - D - DXP,,
06/06/2019,Thursday,Low RDR,High RDR,Min Med Red,Max+ Green,DXP,Broken,UX,Broken,RX,RDR Min Med Red,RDR Max+ Green,DXP - UX - RX,,
07/06/2019,Friday,Low TRN,High RDR,Med Max Red,Med Max Green,UXP,Broken,UXP,Broken,DX,TRN Med Max Red,RDR Med Max Green,UXP - UXP - DX,,
10/06/2019,Monday,High ODR,Low RDR,Min Med Green,Min Med Red,UXP,Broken,DXP,Broken,DXP,ODR Min Med Green,RDR Min Med Red,UXP - DXP - DXP,,
11/06/2019,Tuesday,High TRN,Low RDR,Med Max Green,Min Med Red,DXP,Broken,UXP,Broken,DX,TRN Med Max Green,RDR Min Med Red,DXP - UXP - DX,,
12/06/2019,Wednesday,High ODR,Low RDR,Zero Min Green,Max+ Red,DXP,Intact,DXP,Broken,DXP,ODR Zero Min Green,RDR Max+ Red,DXP - DXP - DXP,,
13/06/2019,Thursday,High ODR,Low RDR,Max+ Green,Min Med Green,DXP,Intact,UXP,Broken,UX,ODR Max+ Green,RDR Min Med Green,DXP - UXP - UX,,
14/06/2019,Friday,Low ODR,High RDR,Zero Min Red,Max+ Green,DXP,Broken,U,Intact,UX,ODR Zero Min Red,RDR Max+ Green,DXP - U - UX,,
17/06/2019,Monday,High RDR,Low RDR,Min Med Green,Min Med Red,UXP,Intact,DXP,Broken,DXP,RDR Min Med Green,RDR Min Med Red,UXP - DXP - DXP,,
18/06/2019,Tuesday,Low ODR,High RDR,Zero Min Red,Max+ Green,DXP,Broken,DXP,Intact,UXP,ODR Zero Min Red,RDR Max+ Green,DXP - DXP - UXP,,
19/06/2019,Wednesday,Low RDR,High RDR,Min Med Red,Med Max Green,UXP,Broken,DX,Broken,DXP,RDR Min Med Red,RDR Med Max Green,UXP - DX - DXP,,
20/06/2019,Thursday,Low ODR,High RDR,Zero Min Green,Max+ Green,UXP,Intact,UXP,Intact,UXP,ODR Zero Min Green,RDR Max+ Green,UXP - UXP - UXP,,
21/06/2019,Friday,Low ODR,High ODR,Med Max Red,Min Med Green,UXP,Broken,D,Broken,UX,ODR Med Max Red,ODR Min Med Green,UXP - D - UX,,
24/06/2019,Monday,High ODR,Low RDR,Med Max Green,Med Max Red,UX,Broken,UX,Broken,DXP,ODR Med Max Green,RDR Med Max Red,UX - UX - DXP,,
25/06/2019,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,UXP,Broken,D,Broken,UX,ODR Min Med Red,RDR Med Max Green,UXP - D - UX,,
26/06/2019,Wednesday,Low ODR,High RDR,Zero Min Red,Max+ Green,UXP,Broken,U,Broken,UXP,ODR Zero Min Red,RDR Max+ Green,UXP - U - UXP,,
27/06/2019,Thursday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,UXP,Broken,UXP,ODR Min Med Red,RDR Med Max Green,DXP - UXP - UXP,,
28/06/2019,Friday,High TRN,Low RDR,Min Med Green,Max+ Red,RC,Broken,DXP,Broken,RX,TRN Min Med Green,RDR Max+ Red,RC - DXP - RX,,
