,,,,,,,,,,,,,,,
Date,Day,High / Low,High / Low,Start Point,End point,ADR Model,Broken/Intact ADR,ODR Model,Broken/Intact ODR,RDR Model,Srart Point with session,End Point with session,Model Combinations,,
14/04/2021,Wednesday,Low ODR,High RDR,Zero Min Red,Max+ Green,UXP,Intact,UXP,Broken,UXP,ODR Zero Min Red,RDR Max+ Green,UXP - UXP - UXP,,
15/04/2021,Thursday,Low ODR,High RDR,Min Med Red,Min Med Green,UXP,Broken,UXP,Broken,RX,ODR Min Med Red,RDR Min Med Green,UXP - UXP - RX,,
16/04/2021,Friday,High ODR,Low RDR,Zero Min Green,Min Med Red,RC,Broken,UXP,Broken,DXP,ODR Zero Min Green,RDR Min Med Red,RC - UXP - DXP,,
19/04/2021,Monday,Low ODR,High RDR,Min Med Red,Zero Min Green,DX,Broken,UX,Broken,UX,ODR Min Med Red,RDR Zero Min Green,DX - UX - UX,,
20/04/2021,Tuesday,High ODR,Low RDR,Min Med Green,Max+ Red,UX,Broken,UXP,Intact,DXP,ODR Min Med Green,RDR Max+ Red,UX - UXP - DXP,,
21/04/2021,Wednesday,High ODR,Low TRN,Zero Min Green,Max+ Red,DXP,Broken,UXP,Intact,DXP,ODR Zero Min Green,TRN Max+ Red,DXP - UXP - DXP,,
22/04/2021,Thursday,Low ODR,High TRN,Min Med Red,Min Med Green,DXP,Broken,RX,Broken,U,ODR Min Med Red,TRN Min Med Green,DXP - RX - U,,
23/04/2021,Friday,Low TRN,High RDR,Zero Min Red,Med Max Green,UXP,Broken,UX,Broken,RX,TRN Zero Min Red,RDR Med Max Green,UXP - UX - RX,,
26/04/2021,Monday,Low TRN,High RDR,Min Med Red,Max+ Green,RC,Broken,DXP,Broken,D,TRN Min Med Red,RDR Max+ Green,RC - DXP - D,,
27/04/2021,Tuesday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,UXP,Broken,U,ODR Zero Min Red,RDR Med Max Green,UXP - UXP - U,,
28/04/2021,Wednesday,Low ODR,High RDR,Min Med Red,Max+ Green,UXP,Broken,RX,Intact,UXP,ODR Min Med Red,RDR Max+ Green,UXP - RX - UXP,,
29/04/2021,Thursday,Low ODR,High RDR,Min Med Red,Med Max Green,U,Intact,UXP,Intact,UXP,ODR Min Med Red,RDR Med Max Green,U - UXP - UXP,,
30/04/2021,Friday,High ODR,Low RDR,Zero Min Green,Med Max Red,DX,Intact,DX,Intact,DXP,ODR Zero Min Green,RDR Med Max Red,DX - DX - DXP,,
03/05/2021,Monday,Low ODR,High RDR,Min Med Red,Med Max Green,UX,Broken,DXP,Broken,UXP,ODR Min Med Red,RDR Med Max Green,UX - DXP - UXP,,
04/05/2021,Tuesday,Low ODR,High ODR,Min Med Red,Med Max Green,UXP,Broken,RX,Intact,UXP,ODR Min Med Red,ODR Med Max Green,UXP - RX - UXP,,
05/05/2021,Wednesday,High RDR,Low RDR,Zero Min Green,Max+ Red,UXP,Broken,RX,Broken,UX,RDR Zero Min Green,RDR Max+ Red,UXP - RX - UX,,
06/05/2021,Thursday,High ODR,Low RDR,Med Max Green,Med Max Red,DXP,Broken,UXP,Intact,DXP,ODR Med Max Green,RDR Med Max Red,DXP - UXP - DXP,,
07/05/2021,Friday,Low TRN,High RDR,Min Med Red,Min Med Green,RC,Broken,RX,Broken,D,TRN Min Med Red,RDR Min Med Green,RC - RX - D,,
10/05/2021,Monday,High ODR,Low RDR,Zero Min Green,Max+ Red,UXP,Broken,DX,Broken,DX,ODR Zero Min Green,RDR Max+ Red,UXP - DX - DX,,
11/05/2021,Tuesday,Low TRN,High RDR,Med Max Red,Med Max Green,RC,Broken,DXP,Broken,U,TRN Med Max Red,RDR Med Max Green,RC - DXP - U,,
12/05/2021,Wednesday,Low ODR,High RDR,Min Med Red,Min Med Green,UXP,Broken,UX,Broken,UXP,ODR Min Med Red,RDR Min Med Green,UXP - UX - UXP,,
13/05/2021,Thursday,High ODR,Low RDR,Zero Min Green,Med Max Red,DXP,Intact,DXP,Intact,DXP,ODR Zero Min Green,RDR Med Max Red,DXP - DXP - DXP,,
14/05/2021,Friday,Low ODR,High RDR,Zero Min Red,Max+ Green,DXP,Broken,RX,Intact,UXP,ODR Zero Min Red,RDR Max+ Green,DXP - RX - UXP,,
17/05/2021,Monday,Low TRN,High RDR,Zero Min Red,Med Max Green,UXP,Broken,D,Broken,UXP,TRN Zero Min Red,RDR Med Max Green,UXP - D - UXP,,
18/05/2021,Tuesday,High ODR,Low RDR,Min Med Green,Max+ Red,UXP,Broken,UXP,Intact,DXP,ODR Min Med Green,RDR Max+ Red,UXP - UXP - DXP,,
19/05/2021,Wednesday,High ODR,Low RDR,Zero Min Green,Max+ Red,DXP,Intact,DXP,Intact,DXP,ODR Zero Min Green,RDR Max+ Red,DXP - DXP - DXP,,
20/05/2021,Thursday,High ODR,Low RDR,Min Med Green,Max+ Red,RC,Broken,UXP,Intact,DXP,ODR Min Med Green,RDR Max+ Red,RC - UXP - DXP,,
21/05/2021,Friday,Low ODR,High RDR,Min Med Red,Max+ Green,DXP,Broken,D,Intact,UXP,ODR Min Med Red,RDR Max+ Green,DXP - D - UXP,,
24/05/2021,Monday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Intact,UXP,Broken,UX,ODR Zero Min Red,RDR Med Max Green,UXP - UXP - UX,,
25/05/2021,Tuesday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,D,Broken,RX,ODR Zero Min Red,RDR Med Max Green,UXP - D - RX,,
26/05/2021,Wednesday,Low TRN,High RDR,Min Med Green,Min Med Red,RC,Broken,UXP,Broken,DXP,TRN Min Med Green,RDR Min Med Red,RC - UXP - DXP,,
27/05/2021,Thursday,Low ODR,High RDR,Zero Min Green,Max+ Green,UXP,Broken,DXP,Broken,UXP,ODR Zero Min Green,RDR Max+ Green,UXP - DXP - UXP,,
28/05/2021,Friday,High TRN,Low RDR,Zero Min Green,Min Med Red,UXP,Broken,DXP,Broken,U,TRN Zero Min Green,RDR Min Med Red,UXP - DXP - U,,
31/05/2021,Monday,High TRN,Low RDR,Zero Min Green,Min Med Red,DXP,Intact,UXP,Broken,U,TRN Zero Min Green,RDR Min Med Red,DXP - UXP - U,,
01/06/2021,Tuesday,High RDR,Low RDR,Med Max Green,Zero Min Red,RC,Intact,UXP,Broken,UXP,RDR Med Max Green,RDR Zero Min Red,RC - UXP - UXP,,
02/06/2021,Wednesday,Low ODR,High RDR,Min Med Red,Min Med Green,DXP,Broken,RC,Broken,U,ODR Min Med Red,RDR Min Med Green,DXP - RC - U,,
03/06/2021,Thursday,High ODR,Low RDR,Zero Min Green,Min Med Red,UXP,Broken,UXP,Broken,DX,ODR Zero Min Green,RDR Min Med Red,UXP - UXP - DX,,
04/06/2021,Friday,Low ODR,High TRN,Zero Min Red,Med Max Green,DX,Intact,UXP,Broken,UXP,ODR Zero Min Red,TRN Med Max Green,DX - UXP - UXP,,
07/06/2021,Monday,High RDR,Low RDR,Min Med Red,Zero Min Green,UX,Broken,DXP,Broken,UXP,RDR Min Med Red,RDR Zero Min Green,UX - DXP - UXP,,
08/06/2021,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,DXP,Broken,RX,ODR Min Med Red,RDR Med Max Green,DXP - DXP - RX,,
09/06/2021,Wednesday,High ODR,Low RDR,Zero Min Green,Med Max Red,UXP,Broken,UXP,Broken,RX,ODR Zero Min Green,RDR Med Max Red,UXP - UXP - RX,,
10/06/2021,Thursday,High RDR,Low RDR,Med Max Green,Med Max Red,DXP,Broken,D,Broken,UXP,RDR Med Max Green,RDR Med Max Red,DXP - D - UXP,,
11/06/2021,Friday,Low TRN,High RDR,Med Max Red,Min Med Green,DXP,Broken,UXP,Broken,UXP,TRN Med Max Red,RDR Min Med Green,DXP - UXP - UXP,,
14/06/2021,Monday,High RDR,Low RDR,Min Med Green,Min Med Red,UXP,Broken,UXP,Broken,UXP,RDR Min Med Green,RDR Min Med Red,UXP - UXP - UXP,,
15/06/2021,Tuesday,Low ODR,High RDR,Zero Min Red,Min Med Green,DXP,Broken,RC,Intact,UXP,ODR Zero Min Red,RDR Min Med Green,DXP - RC - UXP,,
16/06/2021,Wednesday,High RDR,Low RDR,Med Max Green,Min Med Red,UXP,Broken,U,Broken,DXP,RDR Med Max Green,RDR Min Med Red,UXP - U - DXP,,
17/06/2021,Thursday,High RDR,Low RDR,Min Med Green,Max+ Red,DXP,Broken,UX,Broken,UXP,RDR Min Med Green,RDR Max+ Red,DXP - UX - UXP,,
18/06/2021,Friday,Low ODR,High RDR,Zero Min Red,Max+ Green,DXP,Broken,DX,Broken,UXP,ODR Zero Min Red,RDR Max+ Green,DXP - DX - UXP,,
21/06/2021,Monday,Low TRN,High RDR,Min Med Red,Max+ Green,RC,Broken,RX,Broken,UX,TRN Min Med Red,RDR Max+ Green,RC - RX - UX,,
22/06/2021,Tuesday,Low ODR,High RDR,Zero Min Red,Min Med Green,UXP,Broken,RX,Broken,U,ODR Zero Min Red,RDR Min Med Green,UXP - RX - U,,
23/06/2021,Wednesday,High RDR,Low RDR,Min Med Green,Min Med Red,RC,Intact,UXP,Broken,UXP,RDR Min Med Green,RDR Min Med Red,RC - UXP - UXP,,
24/06/2021,Thursday,High ODR,Low TRN,Zero Min Green,Med Max Red,DXP,Broken,UXP,Broken,DXP,ODR Zero Min Green,TRN Med Max Red,DXP - UXP - DXP,,
25/06/2021,Friday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,U,Broken,RX,ODR Zero Min Red,RDR Med Max Green,UXP - U - RX,,
28/06/2021,Monday,High ODR,Low RDR,Zero Min Red,Med Max Red,UXP,Broken,DX,Broken,DXP,ODR Zero Min Red,RDR Med Max Red,UXP - DX - DXP,,
29/06/2021,Tuesday,Low ODR,High RDR,Med Max Red,Min Med Green,DXP,Broken,RX,Broken,UXP,ODR Med Max Red,RDR Min Med Green,DXP - RX - UXP,,
30/06/2021,Wednesday,Low ODR,High RDR,Zero Min Red,Min Med Green,RC,Broken,DXP,Broken,UXP,ODR Zero Min Red,RDR Min Med Green,RC - DXP - UXP,,
01/07/2021,Thursday,Low ODR,High RDR,Min Med Red,Med Max Green,RC,Intact,UXP,Intact,UXP,ODR Min Med Red,RDR Med Max Green,RC - UXP - UXP,,
02/07/2021,Friday,High TRN,Low RDR,Zero Min Green,Med Max Red,DX,Broken,U,Broken,DXP,TRN Zero Min Green,RDR Med Max Red,DX - U - DXP,,
05/07/2021,Monday,Low RDR,High RDR,Med Max Red,Min Med Green,UX,Broken,UXP,Broken,D,RDR Med Max Red,RDR Min Med Green,UX - UXP - D,,
06/07/2021,Tuesday,High ODR,Low RDR,Min Med Green,Max+ Red,UXP,Broken,UXP,Intact,DXP,ODR Min Med Green,RDR Max+ Red,UXP - UXP - DXP,,
07/07/2021,Wednesday,High ODR,Low RDR,Med Max Green,Max+ Red,DXP,Broken,UXP,Intact,DXP,ODR Med Max Green,RDR Max+ Red,DXP - UXP - DXP,,
08/07/2021,Thursday,Low ODR,High RDR,Min Med Red,Max+ Green,RC,Broken,DX,Broken,RX,ODR Min Med Red,RDR Max+ Green,RC - DX - RX,,
09/07/2021,Friday,Low ODR,High RDR,Min Med Red,Med Max Green,UXP,Broken,U,Intact,UXP,ODR Min Med Red,RDR Med Max Green,UXP - U - UXP,,
12/07/2021,Monday,High ODR,Low ODR,Zero Min Green,Min Med Red,UXP,Intact,DXP,Broken,DXP,ODR Zero Min Green,ODR Min Med Red,UXP - DXP - DXP,,
13/07/2021,Tuesday,Low TRN,High RDR,Min Med Red,Med Max Green,UXP,Broken,UX,Broken,DX,TRN Min Med Red,RDR Med Max Green,UXP - UX - DX,,
14/07/2021,Wednesday,High TRN,Low RDR,Min Med Green,Max+ Red,UXP,Broken,U,Broken,D,TRN Min Med Green,RDR Max+ Red,UXP - U - D,,
15/07/2021,Thursday,High RDR,Low RDR,Min Med Green,Min Med Red,DXP,Broken,DXP,Broken,UX,RDR Min Med Green,RDR Min Med Red,DXP - DXP - UX,,
16/07/2021,Friday,High TRN,Low RDR,Min Med Green,Max+ Red,DXP,Broken,RX,Broken,RX,TRN Min Med Green,RDR Max+ Red,DXP - RX - RX,,
19/07/2021,Monday,High ODR,Low RDR,Zero Min Red,Max+ Red,RC,Broken,DX,Intact,DXP,ODR Zero Min Red,RDR Max+ Red,RC - DX - DXP,,
20/07/2021,Tuesday,Low RDR,High RDR,Max+ Red,Min Med Green,DXP,Broken,UXP,Broken,DXP,RDR Max+ Red,RDR Min Med Green,DXP - UXP - DXP,,
21/07/2021,Wednesday,Low ODR,High RDR,Min Med Green,Max+ Green,RC,Broken,UXP,Intact,UXP,ODR Min Med Green,RDR Max+ Green,RC - UXP - UXP,,
22/07/2021,Thursday,Low ODR,High RDR,Zero Min Red,Max+ Green,UXP,Broken,DX,Broken,UXP,ODR Zero Min Red,RDR Max+ Green,UXP - DX - UXP,,
23/07/2021,Friday,Low RDR,High RDR,Zero Min Red,Min Med Green,UXP,Broken,U,Broken,D,RDR Zero Min Red,RDR Min Med Green,UXP - U - D,,
26/07/2021,Monday,Low ODR,High RDR,Max+ Red,Zero Min Green,UXP,Broken,DXP,Broken,UXP,ODR Max+ Red,RDR Zero Min Green,UXP - DXP - UXP,,
27/07/2021,Tuesday,High ODR,Low RDR,Zero Min Green,Min Med Red,RC,Broken,DXP,Broken,UX,ODR Zero Min Green,RDR Min Med Red,RC - DXP - UX,,
28/07/2021,Wednesday,High ODR,Low ODR,Min Med Green,Zero Min Red,RC,Broken,RX,Broken,RC,ODR Min Med Green,ODR Zero Min Red,RC - RX - RC,,
29/07/2021,Thursday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Intact,UXP,Broken,DXP,ODR Zero Min Red,RDR Med Max Green,UXP - UXP - DXP,,
30/07/2021,Friday,Low ODR,High RDR,Zero Min Red,Min Med Green,UXP,Broken,D,Broken,UXP,ODR Zero Min Red,RDR Min Med Green,UXP - D - UXP,,
02/08/2021,Monday,High ODR,Low RDR,Zero Min Green,Med Max Red,DX,Intact,DXP,Broken,D,ODR Zero Min Green,RDR Med Max Red,DX - DXP - D,,
03/08/2021,Tuesday,High ODR,Low TRN,Min Med Green,Med Max Red,DXP,Broken,DX,Intact,DXP,ODR Min Med Green,TRN Med Max Red,DXP - DX - DXP,,
04/08/2021,Wednesday,High ODR,Low RDR,Med Max Green,Max+ Red,RC,Broken,RX,Intact,DXP,ODR Med Max Green,RDR Max+ Red,RC - RX - DXP,,
05/08/2021,Thursday,Low ODR,High RDR,Min Med Red,Med Max Green,DX,Broken,DX,Broken,UXP,ODR Min Med Red,RDR Med Max Green,DX - DX - UXP,,
06/08/2021,Friday,High ODR,Low RDR,Min Med Green,Max+ Red,UXP,Broken,UXP,Broken,DX,ODR Min Med Green,RDR Max+ Red,UXP - UXP - DX,,
09/08/2021,Monday,Low ODR,High RDR,Med Max Red,Min Med Green,DXP,Intact,DXP,Broken,D,ODR Med Max Red,RDR Min Med Green,DXP - DXP - D,,
10/08/2021,Tuesday,Low TRN,High RDR,Zero Min Green,Max+ Green,UXP,Intact,UXP,Broken,RX,TRN Zero Min Green,RDR Max+ Green,UXP - UXP - RX,,
11/08/2021,Wednesday,Low ODR,High RDR,Med Max Red,Max+ Green,RC,Broken,RX,Broken,DXP,ODR Med Max Red,RDR Max+ Green,RC - RX - DXP,,
12/08/2021,Thursday,High ODR,Low RDR,Min Med Green,Min Med Red,UXP,Broken,RX,Broken,D,ODR Min Med Green,RDR Min Med Red,UXP - RX - D,,
13/08/2021,Friday,High RDR,Low RDR,Min Med Green,Med Max Red,DXP,Broken,DXP,Broken,UXP,RDR Min Med Green,RDR Med Max Red,DXP - DXP - UXP,,
16/08/2021,Monday,High ODR,Low RDR,Med Max Green,Med Max Red,DXP,Broken,DXP,Broken,DXP,ODR Med Max Green,RDR Med Max Red,DXP - DXP - DXP,,
17/08/2021,Tuesday,High RDR,Low RDR,Med Max Green,Min Med Red,UXP,Broken,DXP,Broken,UXP,RDR Med Max Green,RDR Min Med Red,UXP - DXP - UXP,,
18/08/2021,Wednesday,High ODR,Low RDR,Min Med Green,Max+ Red,DXP,Broken,UXP,Broken,D,ODR Min Med Green,RDR Max+ Red,DXP - UXP - D,,
19/08/2021,Thursday,Low RDR,High RDR,Med Max Red,Zero Min Green,DXP,Intact,DXP,Broken,D,RDR Med Max Red,RDR Zero Min Green,DXP - DXP - D,,
20/08/2021,Friday,High ODR,Low RDR,Min Med Green,Med Max Red,UX,Broken,D,Intact,DXP,ODR Min Med Green,RDR Med Max Red,UX - D - DXP,,
23/08/2021,Monday,Low ODR,High RDR,Zero Min Green,Max+ Green,DXP,Intact,UXP,Intact,UXP,ODR Zero Min Green,RDR Max+ Green,DXP - UXP - UXP,,
24/08/2021,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,UXP,Intact,UXP,Intact,UXP,ODR Min Med Red,RDR Med Max Green,UXP - UXP - UXP,,
25/08/2021,Wednesday,Low ODR,High RDR,Min Med Red,Min Med Green,UXP,Broken,D,Broken,RX,ODR Min Med Red,RDR Min Med Green,UXP - D - RX,,
26/08/2021,Thursday,High RDR,Low RDR,Zero Min Green,Max+ Green,UXP,Broken,DX,Broken,RX,RDR Zero Min Green,RDR Max+ Green,UXP - DX - RX,,
27/08/2021,Friday,Low ODR,High TRN,Zero Min Red,Min Med Green,U,Intact,UXP,Broken,U,ODR Zero Min Red,TRN Min Med Green,U - UXP - U,,
30/08/2021,Monday,Low ODR,High RDR,Med Max Red,Zero Min Green,UXP,Broken,DXP,Intact,UX,ODR Med Max Red,RDR Zero Min Green,UXP - DXP - UX,,
31/08/2021,Tuesday,High ODR,Low TRN,Min Med Green,Min Med Red,UXP,Broken,RX,Broken,DXP,ODR Min Med Green,TRN Min Med Red,UXP - RX - DXP,,
01/09/2021,Wednesday,High ODR,Low RDR,Min Med Green,Med Max Red,RC,Broken,UXP,Intact,DXP,ODR Min Med Green,RDR Med Max Red,RC - UXP - DXP,,
02/09/2021,Thursday,Low ODR,High RDR,Min Med Red,Max+ Green,UXP,Intact,UXP,Intact,UXP,ODR Min Med Red,RDR Max+ Green,UXP - UXP - UXP,,
03/09/2021,Friday,High TRN,Low RDR,Zero Min Green,Med Max Red,DXP,Broken,UXP,Broken,RX,TRN Zero Min Green,RDR Med Max Red,DXP - UXP - RX,,
06/09/2021,Monday,Low ODR,High RDR,Zero Min Red,Min Med Green,DXP,Broken,DXP,Intact,UXP,ODR Zero Min Red,RDR Min Med Green,DXP - DXP - UXP,,
07/09/2021,Tuesday,High ODR,Low ODR,Min Med Green,Med Max Red,DXP,Broken,UX,Intact,DXP,ODR Min Med Green,ODR Med Max Red,DXP - UX - DXP,,
08/09/2021,Wednesday,Low ODR,High TRN,Min Med Red,Med Max Green,DX,Broken,UXP,Intact,UXP,ODR Min Med Red,TRN Med Max Green,DX - UXP - UXP,,
09/09/2021,Thursday,High ODR,Low RDR,Zero Min Green,Max+ Red,DX,Broken,RX,Broken,D,ODR Zero Min Green,RDR Max+ Red,DX - RX - D,,
10/09/2021,Friday,Low ODR,High RDR,Zero Min Red,Med Max Green,DXP,Intact,UXP,Intact,UXP,ODR Zero Min Red,RDR Med Max Green,DXP - UXP - UXP,,
13/09/2021,Monday,Low ODR,High RDR,Min Med Red,Min Med Green,UXP,Broken,D,Broken,UXP,ODR Min Med Red,RDR Min Med Green,UXP - D - UXP,,
14/09/2021,Tuesday,High TRN,Low RDR,Min Med Green,Med Max Red,RC,Broken,UXP,Broken,D,TRN Min Med Green,RDR Med Max Red,RC - UXP - D,,
15/09/2021,Wednesday,Low ODR,High RDR,Min Med Red,Med Max Green,RC,Intact,UXP,Intact,UXP,ODR Min Med Red,RDR Med Max Green,RC - UXP - UXP,,
16/09/2021,Thursday,Low RDR,High RDR,Max+ Red,Zero Min Green,RC,Broken,U,Broken,DXP,RDR Max+ Red,RDR Zero Min Green,RC - U - DXP,,
17/09/2021,Friday,High TRN,Low RDR,Min Med Green,Min Med Red,UXP,Intact,DXP,Broken,DXP,TRN Min Med Green,RDR Min Med Red,UXP - DXP - DXP,,
20/09/2021,Monday,High ODR,Low RDR,Zero Min Green,Min Med Red,RC,Intact,DXP,Broken,D,ODR Zero Min Green,RDR Min Med Red,RC - DXP - D,,
21/09/2021,Tuesday,High ODR,Low RDR,Min Med Green,Med Max Red,RC,Broken,UXP,Intact,DXP,ODR Min Med Green,RDR Med Max Red,RC - UXP - DXP,,
22/09/2021,Wednesday,Low ODR,High RDR,Min Med Green,Med Max Green,UX,Intact,UXP,Broken,UX,ODR Min Med Green,RDR Med Max Green,UX - UXP - UX,,
23/09/2021,Thursday,Low ODR,High RDR,Min Med Red,Med Max Green,UXP,Broken,UXP,Broken,UXP,ODR Min Med Red,RDR Med Max Green,UXP - UXP - UXP,,
24/09/2021,Friday,Low TRN,High RDR,Zero Min Red,Med Max Green,UXP,Broken,UX,Broken,UX,TRN Zero Min Red,RDR Med Max Green,UXP - UX - UX,,
27/09/2021,Monday,Low ODR,High RDR,Min Med Red,Min Med Green,UXP,Broken,RC,Intact,UXP,ODR Min Med Red,RDR Min Med Green,UXP - RC - UXP,,
28/09/2021,Tuesday,High ODR,Low RDR,Med Max Green,Med Max Red,DX,Broken,UXP,Broken,D,ODR Med Max Green,RDR Med Max Red,DX - UXP - D,,
29/09/2021,Wednesday,Low ODR,High RDR,Med Max Red,Med Max Green,DXP,Broken,DX,Intact,UXP,ODR Med Max Red,RDR Med Max Green,DXP - DX - UXP,,
30/09/2021,Thursday,Low RDR,High RDR,Med Max Red,Med Max Green,RC,Broken,U,Intact,DXP,RDR Med Max Red,RDR Med Max Green,RC - U - DXP,,
01/10/2021,Friday,Low ODR,High RDR,Zero Min Red,Max+ Green,UXP,Broken,DXP,Broken,UXP,ODR Zero Min Red,RDR Max+ Green,UXP - DXP - UXP,,
04/10/2021,Monday,Low ODR,High RDR,Min Med Red,Max+ Green,UXP,Broken,D,Intact,UXP,ODR Min Med Red,RDR Max+ Green,UXP - D - UXP,,
05/10/2021,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,RC,Broken,UX,Intact,UXP,ODR Min Med Red,RDR Med Max Green,RC - UX - UXP,,
06/10/2021,Wednesday,High ODR,Low RDR,Med Max Green,Max+ Red,RC,Broken,U,Intact,DXP,ODR Med Max Green,RDR Max+ Red,RC - U - DXP,,
07/10/2021,Thursday,Low ODR,High RDR,Med Max Red,Max+ Green,DXP,Broken,DXP,Intact,UX,ODR Med Max Red,RDR Max+ Green,DXP - DXP - UX,,
08/10/2021,Friday,High RDR,Low RDR,Med Max Green,Zero Min Red,UXP,Broken,UXP,Broken,UXP,RDR Med Max Green,RDR Zero Min Red,UXP - UXP - UXP,,
11/10/2021,Monday,High ODR,Low RDR,Med Max Green,Zero Min Red,U,Intact,UXP,Broken,RX,ODR Med Max Green,RDR Zero Min Red,U - UXP - RX,,
12/10/2021,Tuesday,Low TRN,High RDR,Med Max Red,Min Med Green,DXP,Broken,RX,Broken,U,TRN Med Max Red,RDR Min Med Green,DXP - RX - U,,
13/10/2021,Wednesday,Low RDR,High RDR,Med Max Red,Med Max Green,DX,Broken,U,Broken,DXP,RDR Med Max Red,RDR Med Max Green,DX - U - DXP,,
14/10/2021,Thursday,High TRN,Low RDR,Zero Min Green,Med Max Red,UXP,Broken,UXP,Broken,DX,TRN Zero Min Green,RDR Med Max Red,UXP - UXP - DX,,
15/10/2021,Friday,Low TRN,High RDR,Zero Min Red,Min Med Green,UXP,Broken,UXP,Broken,UX,TRN Zero Min Red,RDR Min Med Green,UXP - UXP - UX,,
18/10/2021,Monday,High ODR,Low RDR,Min Med Green,Med Max Red,UXP,Broken,U,Broken,RX,ODR Min Med Green,RDR Med Max Red,UXP - U - RX,,
19/10/2021,Tuesday,Low RDR,High RDR,Max+ Red,Min Med Green,DXP,Broken,UXP,Broken,DXP,RDR Max+ Red,RDR Min Med Green,DXP - UXP - DXP,,
20/10/2021,Wednesday,Low TRN,High RDR,Min Med Red,Max+ Green,UXP,Broken,DXP,Broken,D,TRN Min Med Red,RDR Max+ Green,UXP - DXP - D,,
21/10/2021,Thursday,High ODR,Low RDR,Zero Min Green,Med Max Red,UXP,Intact,DXP,Broken,DXP,ODR Zero Min Green,RDR Med Max Red,UXP - DXP - DXP,,
22/10/2021,Friday,Low ODR,High RDR,Min Med Red,Med Max Green,RC,Broken,D,Intact,UXP,ODR Min Med Red,RDR Med Max Green,RC - D - UXP,,
25/10/2021,Monday,High RDR,Low RDR,Med Max Green,Med Max Red,UXP,Broken,UXP,Broken,UXP,RDR Med Max Green,RDR Med Max Red,UXP - UXP - UXP,,
26/10/2021,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,DXP,Broken,U,ODR Min Med Red,RDR Med Max Green,DXP - DXP - U,,
27/10/2021,Wednesday,High RDR,Low RDR,Zero Min Green,Med Max Red,UXP,Intact,DXP,Broken,U,RDR Zero Min Green,RDR Med Max Red,UXP - DXP - U,,
28/10/2021,Thursday,Low ODR,High RDR,Med Max Red,Max+ Green,DXP,Broken,DX,Broken,UX,ODR Med Max Red,RDR Max+ Green,DXP - DX - UX,,
29/10/2021,Friday,Low TRN,High RDR,Med Max Red,Min Med Green,UXP,Broken,UXP,Broken,DXP,TRN Med Max Red,RDR Min Med Green,UXP - UXP - DXP,,
01/11/2021,Monday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,D,Intact,UXP,ODR Zero Min Red,RDR Med Max Green,UXP - D - UXP,,
02/11/2021,Tuesday,High ODR,Low RDR,Zero Min Green,Med Max Red,DXP,Broken,UXP,Intact,DXP,ODR Zero Min Green,RDR Med Max Red,DXP - UXP - DXP,,
03/11/2021,Wednesday,High ODR,Low RDR,Zero Min Green,Med Max Red,DXP,Broken,D,Intact,DXP,ODR Zero Min Green,RDR Med Max Red,DXP - D - DXP,,
04/11/2021,Thursday,High TRN,Low RDR,Max+ Green,Max+ Red,DXP,Broken,UX,Broken,UXP,TRN Max+ Green,RDR Max+ Red,DXP - UX - UXP,,
05/11/2021,Friday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,DXP,Broken,U,ODR Min Med Red,RDR Med Max Green,DXP - DXP - U,,
08/11/2021,Monday,High ODR,Low RDR,Min Med Green,Med Max Green,UXP,Broken,RC,Broken,RX,ODR Min Med Green,RDR Med Max Green,UXP - RC - RX,,
09/11/2021,Tuesday,Low ODR,High RDR,Min Med Red,Med Max Green,RC,Broken,U,Broken,UXP,ODR Min Med Red,RDR Med Max Green,RC - U - UXP,,
10/11/2021,Wednesday,High TRN,Low RDR,Min Med Green,Max+ Red,UXP,Broken,DX,Broken,D,TRN Min Med Green,RDR Max+ Red,UXP - DX - D,,
11/11/2021,Thursday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,DX,Broken,UXP,ODR Min Med Red,RDR Med Max Green,DXP - DX - UXP,,
12/11/2021,Friday,Low ODR,High RDR,Min Med Red,Med Max Green,DXP,Broken,DXP,Broken,RC,ODR Min Med Red,RDR Med Max Green,DXP - DXP - RC,,
15/11/2021,Monday,Low RDR,High RDR,Min Med Red,Med Max Green,D,Broken,DX,Broken,DXP,RDR Min Med Red,RDR Med Max Green,D - DX - DXP,,
16/11/2021,Tuesday,High ODR,Low RDR,Min Med Green,Med Max Red,UXP,Broken,UXP,Broken,DXP,ODR Min Med Green,RDR Med Max Red,UXP - UXP - DXP,,
17/11/2021,Wednesday,High ODR,Low RDR,Zero Min Green,Max+ Red,RC,Broken,U,Broken,DX,ODR Zero Min Green,RDR Max+ Red,RC - U - DX,,
